county,state,area
Autauga, Alabama,604.49
Baldwin, Alabama,2027.08
Barbour, Alabama,904.59
Bibb, Alabama,625.5
Blount, Alabama,650.65
Bullock, Alabama,626.11
Butler, Alabama,777.99
Calhoun, Alabama,612.35
Chambers, Alabama,603.15
Cherokee, Alabama,600
Chilton, Alabama,700.8
Choctaw, Alabama,920.91
Clarke, Alabama,1252.6
Clay, Alabama,606.05
Cleburne, Alabama,561.06
Coffee, Alabama,680.52
Colbert, Alabama,623.66
Conecuh, Alabama,852.58
Coosa, Alabama,666.41
Covington, Alabama,1043.95
Crenshaw, Alabama,610.91
Cullman, Alabama,754.86
Dale, Alabama,562.72
Dallas, Alabama,993.46
DeKalb, Alabama,778.71
Elmore, Alabama,657.26
Escambia, Alabama,953.04
Etowah, Alabama,548.81
Fayette, Alabama,629.38
Franklin, Alabama,646.55
Geneva, Alabama,578.96
Greene, Alabama,659.99
Hale, Alabama,656.52
Henry, Alabama,568.38
Houston, Alabama,581.71
Jackson, Alabama,1126.82
Jefferson, Alabama,1123.87
Lamar, Alabama,605.51
Lauderdale, Alabama,718.84
Lawrence, Alabama,718.13
Lee, Alabama,615.61
Limestone, Alabama,607.12
Lowndes, Alabama,725.09
Macon, Alabama,613.29
Madison, Alabama,812.89
Marengo, Alabama,982.92
Marion, Alabama,743.62
Marshall, Alabama,623.21
Mobile, Alabama,1644.14
Monroe, Alabama,1034.62
Montgomery, Alabama,799.81
Morgan, Alabama,599.09
Perry, Alabama,724.13
Pickens, Alabama,890.1
Pike, Alabama,672.15
Randolph, Alabama,584.15
Russell, Alabama,647.44
St. Clair, Alabama,653.66
Shelby, Alabama,809.6
Sumter, Alabama,913.35
Talladega, Alabama,760.32
Tallapoosa, Alabama,766.3
Tuscaloosa, Alabama,1352.03
Walker, Alabama,805.36
Washington, Alabama,1088.62
Wilcox, Alabama,907.54
Winston, Alabama,631.9
Aleutians East, Alaska,15011.77
Aleutians West, Alaska,14114.7
Anchorage, Alaska,1961.51
Bethel, Alaska,45954.59
Bristol Bay, Alaska,917.61
Denali, Alaska,0
Dillingham, Alaska,20613.12
Fairbanks North Star, Alaska,7443.68
Haines, Alaska,2754.1
Hoonah-Angoon, Alaska,17500.23
Juneau, Alaska,3081.12
Kenai Peninsula, Alaska,21664.33
Ketchikan Gateway, Alaska,1743.55
Kodiak Island, Alaska,11845.9
Lake and Peninsula, Alaska,29008.24
Matanuska-Susitna, Alaska,25232.41
Nome, Alaska,28276.17
