state,location
DC, North East
New York,North East
New Jersey,North East
Vermont,North East
Pennsylvania,North East
New Hampshire,North East
Rhode Island,North East
Connecticut,North East
Delaware,North East
Massachusetts,North East
Maine,North East
Maryland, North East
California,Pacific West
Washington,Pacific West
Oregon,Pacific West
Alaska,Pacific West
Hawaii,Pacific West
Idaho,Mountain West
Montana,Mountain West
Wyoming,Mountain West
Nevada,Mountain West
Utah,Mountain West
Colorado,Mountain West
Texas,South West
Oklahoma,Mid West
North Dakota,Mid West
South Dakota,Mid West
Nebraska,Mid West
Kansas,Mid West
Minnesota,Mid West
Indiana,Mid West
Missouri,Mid West
Wisconsin,Mid West
Illinois,Mid West
Iowa,Mid West
Ohio,Mid West
Michigan,Mid West
Florida,South
South Carolina,South
Georgia,South
Alabama,South
North Carolina,South
Louisiana,South
Mississippi,South
Tennessee,South
Arkansas, South
Kentucky, South
Virginia, South
West Virginia, South
Arizona,South West
New Mexico,South West
